stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
157,January - M011990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,30.8,NA,265,NA,NA,01-01-1990
156,January - M011990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",7.4,41.4,NA,403,NA,NA,01-01-1990
158,February - M021990,Rajasthan,Jaipur,NA,Industrial Area,5,16.6,NA,114,NA,NA,01-02-1990
157,February - M021990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,13.4,NA,276,NA,NA,01-02-1990
156,February - M021990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6.9,38.2,NA,313,NA,NA,01-02-1990
158,April - M041990,Rajasthan,Jaipur,NA,Industrial Area,6.3,9.8,NA,300,NA,NA,01-04-1990
157,April - M041990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,9.9,NA,284,NA,NA,01-04-1990
156,April - M041990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.5,16.3,NA,444,NA,NA,01-04-1990
158,May - M051990,Rajasthan,Jaipur,NA,Industrial Area,6.6,6.9,NA,435,NA,NA,01-05-1990
157,May - M051990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,6.6,NA,483,NA,NA,01-05-1990
156,May - M051990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,8.5,NA,647,NA,NA,01-05-1990
158,June - M061990,Rajasthan,Jaipur,NA,Industrial Area,6.5,6.9,NA,391,NA,NA,01-06-1990
157,June - M061990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,6.3,NA,536,NA,NA,01-06-1990
156,June - M061990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,8,NA,579,NA,NA,01-06-1990
157,July - M071990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.6,NA,NA,NA,NA,01-07-1990
156,July - M071990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.9,NA,NA,NA,NA,01-07-1990
158,July - M071990,Rajasthan,Jaipur,NA,Industrial Area,5,6.5,NA,NA,NA,NA,01-07-1990
157,August - M081990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.9,NA,NA,NA,NA,01-08-1990
156,August - M081990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,7.2,NA,NA,NA,NA,01-08-1990
158,August - M081990,Rajasthan,Jaipur,NA,Industrial Area,5,6.3,NA,NA,NA,NA,01-08-1990
157,September - M091990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.9,NA,NA,NA,NA,01-09-1990
156,September - M091990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,7.5,NA,NA,NA,NA,01-09-1990
158,September - M091990,Rajasthan,Jaipur,NA,Industrial Area,5,6.3,NA,NA,NA,NA,01-09-1990
157,November - M111990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,15.7,NA,NA,NA,NA,01-11-1990
156,November - M111990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.5,12.7,NA,NA,NA,NA,01-11-1990
158,November - M111990,Rajasthan,Jaipur,NA,Industrial Area,17.8,16.1,NA,NA,NA,NA,01-11-1990
157,December - M121990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,14.6,NA,NA,NA,NA,01-12-1990
156,December - M121990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.3,19.6,NA,NA,NA,NA,01-12-1990
158,December - M121990,Rajasthan,Jaipur,NA,Industrial Area,12,14.7,NA,NA,NA,NA,01-12-1990
157,January - M011991,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.1,13.4,NA,NA,NA,NA,01-01-1991
156,January - M011991,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.4,17.8,NA,NA,NA,NA,01-01-1991
158,January - M011991,Rajasthan,Jaipur,NA,Industrial Area,9.9,12.1,NA,NA,NA,NA,01-01-1991
NA,25-07-2005,Rajasthan,Jaipur,NA,Residential and others,5,24.2,102,352,Chandpole,NA,25-07-2005
NA,28-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,28.9,102,288,Chandpole,NA,28-07-2005
NA,08-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,26.7,101,512,Chandpole,NA,08-01-2005
NA,08-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,26.3,85,423,Chandpole,NA,08-04-2005
NA,08-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,23.5,48,134,Chandpole,NA,08-08-2005
NA,08-11-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,21.4,65,384,Chandpole,NA,08-11-2005
